title,ad_id,desc,city,country,date,sector
Customer Success Executive,5495322502,"The Enterpryze Customer Success Executive is responsible for the full lifecycle of our Enterpryze customers from the moment that they purchase our Enterpryze solution. Customer Success Executive's are Enterpryze product specialists who are focussed and measured on Customer retention and churn. They are solution driven, enthusiastic with a customer care focus. They have a flair for technology and a good working knowledge of accountancy. Responsibilities: Onboard and train customers onto the Enterpryze platform Ensure all onboarded customers are actively using the platform Conduct onboarding remotely in a friendly and professional manner Supporting new customers & partners onto the Enterpryze platform Seek new ways to enhance & improve the customer experience Responsible for retention of specific customer list and yearly renewals Work closely with marketing and sales on initiatives to drive product adoption Required Skills: Previous experience in customer service role no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Dublin,Ireland,2022-04-09,Customer Service & Call Centre
Technical Support Associate with Russian,5495348992,"*Technical Support Associate with Russian Join Accenture in Ireland and help transform leading organizations and communities around the world. The sheer scale of our capabilities and client engagements and the way we collaborate, operate and deliver value provides an unparalleled opportunity to grow and advance. Choose Accenture, and make delivering innovative work part of your extraordinary career. Accenture people build careers in four different areas of our business: Consulting, Technology, Outsourcing and internal Corporate Functions. Each area offers a unique career experience and a compelling mix of work and training opportunities, work environment and structure for career progression. Role Summary Technical Support Associates work in a technical client-facing service environment, supporting partners. They provide specialist technical support for resolution of customer problems, incidents, issues, requests and queries. They liaise with product specialists, engineers, support teams, as required resolving requests/issues in a timely manner. They ensure proper documentation, notification, escalation, tracking, and follow up of all incidents as well as translating client requirements into solutions that will create value for Accenture and our clients. Roles and Responsibilities ● Troubleshoot and resolve technical issues related to data feeds by o Providing guidance and consultative technical support to partners o Work with a Partner/Account management Support model o Work directly with Engineers/Technical team on Partner technical integration o Bug management o Become SME and point of escalation for product on team Personal Specification ● 2 years’ experience working in a client-facing technical service environment, preferably supporting web-based products ● Ability to absorb complex technical concepts and communicate them to a non-technical audience ● Demonstrated creative problem-solving approach and strong analytical skills ● Ability to process data in spreadsheets (Excel or similar) ● Extremely proactive, taking initiative, following up with bugs, new product features, etc. ● Great customer support and troubleshooting experience ● Experience with contacting clients via multiple channels (email, chat, phone) ● Strong collaboration, leadership, organization and the ability to work well in teams ● Fluent written and spoken English ● Fluency in one or more additional languages) ● Experience with data encoding languages, schemas, tags etc. (XML or similar) ● Prior knowledge of online advertising products/tools Education ● Bachelor’s degree required: B Tech, BCA, BSc comp, BSc IT, or equivalent practical experience All of our professionals receive comprehensive training covering business acumen, technical and professional skills development. You’ll also have opportunities to hone your functional skills and expertise in an area of specialization. We offer a variety of formal and informal training programs at every level to help you acquire and build specialized skills faster. Learning takes place both on the job and through formal training conducted online, in the classroom, or in collaboration with teammates. The sheer variety of work we do, and the experience it offers, provide an unbeatable platform from which to build a career. Please note that Accenture is an equal opportunities employer and welcomes applications from all sections of society and does not discriminate on grounds of race, religion or belief, ethnic or national origin, disability, age, citizenship, marital, domestic or civil partnership status, sexual orientation, or gender identity. Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. Combining unmatched experience and specialized skills across more than 40 industries and all business functions—underpinned by the world’s largest delivery network—Accenture works at the intersection of business and technology to help clients improve their performance and create sustainable value for their stakeholders. With approximately 373,000 people serving clients in more than 120 countries, Accenture drives innovation to improve the way the world works and lives. Visit us at . no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Dublin,Ireland,2022-04-09,Customer Service & Call Centre
Experienced Customer Service Representative,5495304355,"ECS Recruitment are currently seek an Experienced Customer Service Representative for our Client based in Baldonnell, Dublin Job Description: * Managing incoming telephone calls and emails * Processing orders * Identifying and assessing customers' needs to achieve satisfaction * ... no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Dublin,Ireland,2022-04-09,Customer Service
Engineering Manager - Customer Platform,5495325190,"At Zalando everything we do starts with our customers. Great customer data and services are vital to our experiences. We're looking for an Engineering Manager to lead and shape the team working on some of our most critical and valuable customer platform services. You'll learn how e-commerce works at scale, the core product and lifecycle models, working with and growing a strong team of engineers. This is a unique opportunity to work on and shape the direction of the underlying technology used to support millions of Zalando customers every day, across one of Europe's largest fashion e-commerce operations. WHERE YOUR EXPERTISE IS NEEDED As an Engineering Manager for Customer Profile Platform, you will provide direction, coaching and leadership to a team that develops critical systems for customer profiles, storage, and serving. You will help: Ensure delivery of services that meet the set expectations in terms of quality, performance and operational excellence. Ensure constructive collaboration and joint decision-making across engineering teams, and stakeholders such as product management, product design and commercial leaders. Drive team development in engineering techniques and practices to deliver stable, scalable, secure production services. Coach, develop and celebrate engineers in their career journey, while cultivating a culture of ownership, goal setting, and customer centricity. Balance delivering amazing customer experiences whilst taking into account the level of security and compliance that modern day customer data services require. WHAT WE’RE LOOKING FOR Experience managing successful teams and establishing a culture of trust and responsibility creating customer impact. A track record of leading and developing healthy, high performing delivery teams of engineers or scientists, who are long term effective in building and delivering high quality services. Experience working with and through interdisciplinary roles and teams, such as product managers, scientists and designers, as well as engineers and other engineering leaders. Experience in continuous delivery of online services and APIs with demanding availability and performance requirements. A track record of dealing with complex systems and requirements, establishing feasible plans to make and support technical delivery decisions. PERKS AT WORK A workplace run on trust, empowerment and feedback; positive, inspiring working atmosphere Competitive salary, employee share shop, 40% Zalando shopping discount, discounts from external partners, centrally located offices, public transport discounts, municipality services, great IT equipment, flexible working times, additional holidays and volunteering time off, free beverages and fruits, diverse sports and health offerings Mentoring and personal development opportunities and an international team of experts Relocation assistance for internationals, PME family service and parent & child rooms We celebrate diversity and are committed to building teams that represent a variety of backgrounds, perspectives and skills. All employment is decided on the basis of qualifications, merit and business need. ABOUT ZALANDO Zalando is Europe’s leading online platform for fashion, connecting customers, brands and partners across 23 markets. We drive digital solutions for fashion, logistics, advertising and research, bringing head-to-toe fashion to more than 45 million active customers through diverse skill-sets, interests and languages our teams choose to use. Please note that all applications must be completed using the online form - we do not accept applications via email. Emplacement Dublin ( Ireland ) Contrat À plein temps Catégorie d'emploi Software Engineering - Leadership Experience Niveau professionnel Département Zalando Ireland Ltd. Contact Courriel First Name * Last Name * Email * Phone * Resume * Pièce jointe Veuillez utiliser uniquement les extensions de fichier suivantes: pdf txt doc docx, Taille de fichier maximale 10 MB LinkedIn Profile How did you hear about this job? Please enter your earliest possible starting date (mm/dd/yyyy). * no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Dublin,Ireland,2022-04-09,Customer Service & Call Centre
Technical Support Associate Clinical Research/Healthcare …,5495340619,"Technical Support Associate Clinical Research/Healthcare Software Technical Support-Clinical Research/Healthcare Software Our client, a growing, innovative healthcare technology are currently recruiting for a Technical Support-Clinical Research/Healthcare Software. This roles is a customer support focussed and you will be responsible handling customer requests for all elements of the organisations platform. **Shift hours are specifically 5am-2pm.** Responsibilities Answering customer support phone calls, emails, chats during assigned shift hours Utilize ZenDesk to manage, escalate and resolve issues Effectively communicate resolutions to our Customers Fulfill customer support SLAs and KPIs Build the organisations Knowledgebase articles from a support point of view General administration support to the team Requirements Degree in related discipline 1-2 years of experience in technology help desk positions Experience with healthcare, mHealth and/or clinical research is desired Intermediate understanding of iPhone and Android devices Intermediate understanding of basic desktop computer usage and browser based software Clinical research and healthcare experience a plus Telehealth experience a plus Ability to communicate, listen, train and teach others with a wide range of technical ability through various mediums including email, phone, video Ability to work independently and responsibly since this is a remote, third shift position Ability to quickly learn and understand technology Ability to quickly learn and understand complex business processes Intermediate software skills include: Microsoft Office, Chrome Web Browser & ZenDesk Effective time management and self-discipline Excellent oral, written and presentation skills Excellent teamwork skills with an ability to get the work done with minimal or no supervision no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Dublin,Ireland,2022-04-09,Customer Service & Call Centre
German Customer Service Representative - Galway - Hybrid,5495316897,"German Customer Service Representative - Galway - Hybrid Responsibilities: * Responding to customer and employee questions/concerns in an efficient and effective manner. * Resolving issues/complaints which customers might have regarding company's products which include but not limited to... no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Galway,Ireland,2022-04-09,Customer Service
Sea Logistics Customer Care Expert,5495287182,"Role: Sea Logistics Customer Care Expert Salary: €30-40k Annually Duration: Permanent Contract Location: North Dublin Sea Logistics Customer Care Expert An established freight company in North Dublin are looking for a positive and decisive Sea Logistics Customer Care Expert to ... no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Dublin,Ireland,2022-04-09,Customer Service & Call Centre
Customer Service Admin,5495275237,"We are currently recruiting for an experienced Customer Service Admin for our Client in the Dublin 24 Area. This is a Full Time Permanent Role with an immediate Start. Salary €26,000 per annum. This role will require a professional individual who is highly organised, customer focused, with g... no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Dublin,Ireland,2022-04-09,Customer Service
Product Support Specialist - German Speaking,5495340953,"Please enter a valid email address to continue. Product Support Specialist - German Speaking Product Support Specialist - German Speaking Dublin ActiveCampaign's category-defining Customer Experience Automation Platform (CXA) helps over 150,000 businesses in 170 countries meaningfully engage with their customers. The platform gives businesses of all sizes access to 500+ pre-built automations that combine email marketing, marketing automation and CRM for powerful segmentation and personalization across social, email, messaging, chat and text. Over 100,000 of ActiveCampaign's customers use its 850+ integrations including Microsoft, Shopify, Square, Facebook, and Salesforce. ActiveCampaign scores higher in customer satisfaction than any other solution in Marketing Automation, CRM, and E-Commerce Personalization on G2.com and is the Top Rated Email Marketing Software on TrustRadius. Pricing starts at just $9/month. Start a free trial at ActiveCampaign.com . As a global multicultural company, we are proud of our inclusive culture which embraces diverse voices, backgrounds, and perspectives. We don’t just celebrate our differences, we believe our diversity is what empowers our innovation and success. If this matches your goals and interests, we hope you consider joining our team! As one of the fastest-growing SaaS companies, we are scaling rapidly to keep up with market demand. We are growing all of our teams and looking for people who share our values, deliver innovation frequently, and join us in our mission to grow our customer base from 150,000 today to millions. 50% of ActiveCampaign's customers are outside the U.S., with Europe representing 30% of this base. To be up close and personal with our customers and build upon our success in the region, we are establishing our EMEA headquarters in Dublin and looking to build a local team to lead this growth. We are seeking candidates who truly enjoy working with small and medium-sized customers across EMEA and help them understand how the ActiveCampaign platform and tools can help them propel their business forward. If you are a problem-solver with a technical depth and a customer-first mentality, the motivation to take the initiative to own and resolve customer issues to help them leverage their use of our products for maximum impact, are highly curious and love the intersection of technology and marketing, we'd love to talk to you. Primary Responsibilities: Effectively resolve customer enquiries via email, chat, phone and screen sharing (initially mostly email) from relationship issues to diagnosing complex software issues in an accurate and timely manner Compose thoughtful, personalized responses for a variety of customer requests Troubleshoot and identify root causes of customer problems using a variety of internal tools Proactively identify improvements to the product, identify and reproduce bugs and otherwise determine high-impact opportunities to enhance the customer experience Formulate alternative or unique solutions on technical scenarios to help clients achieve their goals and help them to utilize our platform Keep on top of the latest news in regards to email marketing, deliverability and small business marketing in general Maintain quality in a high velocity environment Most importantly, build upon ActiveCampaign’s goal of creating the best customer experience in the industry as we look for our own platform to improve the customer experience of over one million growing businesses What is needed: Fluent in English and German required 1-2 years of experience with front end technical/customer service – specifically with SaaS solutions A solutions oriented mindset with the ability to create memorable customer experiences and explain technical problems succinctly and clearly Excellent independent work and problem-solving attitude in a constantly changing and frequently ambiguous environment A passion for customer support and about the role it plays in making a customer-centric team successful Ability to efficiently respond to a significant number of emails, chats and phone calls per day An entrepreneurial spirit and attitude A self-motivated, curious learner and proactive team player mindset with innovative ideas to inspire customer adoption. Excellent communication and conflict resolution skills & the ability to relate to others Prior experience in software support is a plus Ability and desire to work from 10am-6pm GMT hours Perks and benefits: ActiveCampaign is an employee-first culture. We take care of our employees at work and outside of work. You can see more of the details here , but some of our most popular benefits include our comprehensive health and wellness benefits (including no premiums for employees on our HSA plan, tele-health and tele-mental health, and access to the Calm app for mediation), open paid time off, generous 401(k) matching with no vesting, a generous stipend to outfit your remote office, and a focus on career growth including access to personal and professional coaching. We take a proactive approach to diversity and inclusion and offer parental leave, career pathing, and support employees’ ongoing learning and development through Udemy and access to life coaches via Modern Health. We also offer cool swag. ActiveCampaign is an equal opportunity employer. We recruit, hire, pay, grow and promote no matter of gender, race, color, sexual orientation, religion, age, protected veteran status, physical and mental abilities, or any other identities protected by law. Our Employee Resource Groups (ERGs) strive to foster a diverse inclusive environment by supporting each other, building a strong sense of belonging, and creating opportunities for mentorship and professional growth for their members. Our core values: Start with trust Make the customer a hero Cultivate inclusion & diversity Iterate everything, always Create WOW Pursue growth with gratitude Visit here to learn about perks and benefits at ActiveCampaign and see our values in action. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Dublin,Ireland,2022-04-09,Customer Service & Call Centre
Director of Customer Operations - Irish SME - Services Industry,5495352355,"An exceptional opportunity has arisen to join a high performing Senior Leadership Team with an organisation enjoying year on year growth. The successful candidate will drive positive change and ensure processes and operation are best in class. My client is an Irish SME with a business focused on healthcare. This role will suit a candidate who is passionate about excellence in customer service and performance improvement. Role of the Director of Operations The successful candidate will sit on the Senior Leadership Team and drive innovation, process improvement and strategy for our future. You will conduct a complete root and branch analysis of our current processes, identifying opportunities to streamline and optimise our operation. Apply a structured methodology and lead change management activities Apply a change management process and tools to create a strategy to support adoption of the changes required by a project or initiative. Support the design, development, delivery and management of communications. Assess the change impact Conduct impact analyses, assess change readiness and identify key stakeholders. Support training efforts Provide input, document requirements and support the design and delivery of training programs. Additional responsibilities may include: Complete change management assessments Identify, analyse and prepare risk mitigation tactics Identify and manage anticipated resistance Create actionable deliverables for the five change management levers: communications plan, sponsor roadmap, coaching plan, training plan, resistance management plan Skills and Qualifications A proven track record in a leadership role in an operation focused on innovation to drive excellence in client delivery A solid understanding of how people go through a change and the change process Exceptional communication skills, both written and verbal Ability to clearly articulate messages to a variety of audiences Ability to establish and maintain strong relationships Expertise in reporting, analysing and improving KPIs Ability to set and report meaningful KPIs that will truly enhance delivery of service Ability to influence others and move toward a common vision or goal Flexible and adaptable; able to work in ambiguous situations Resilient and tenacious with a propensity to persevere Forward looking with a holistic approach Innovation – solution focused through creative problem solving Strategic – the ability to inspire others with a clear vision Adaptable – embrace unexpected changes and flexing to client needs Resilient – Get constant energy from challenges Change Agent – Clear understanding of change management principles Emotional Intelligence – Takes other peoples interests into account when making decisions to bring people on a journey Influencer – ability to persuade and bring people with them on a journey Inspiring/Motivator – Looks at the positives of change and creates a compelling narrative no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Dublin,Ireland,2022-04-09,Customer Service
Business Support Specialist (Site Focal),5495354247,"Job Description At Boeing, we innovate and collaborate to make the world a better place. From the seabed to outer space, you can contribute to work that matters with a company where diversity, equity and inclusion are shared values. We’re committed to fostering an environment for every teammate that’s welcoming, respectful and inclusive, with great opportunity for professional growth. Find your future with us. Position Purpose Supports and integrates activities across more than one discipline within Boeing International Enterprise Services (BIES). Provides administrative, personnel and customer support to facilitate on-site activities. Supports project and process plans and in the implementation of policies and procedures. Develops and maintains relationships and partnerships with customers, stakeholders and peers. Supports multiple administrative processes. Responds to customer requests. Responsibilities The Site Focal role is positioned to ensure the smooth and seamless operation of the Boeing Cloghran house office and Bloodstone Office providing multi-disciplinary business process and administrative support to the residents, working closely with internal business functions and external contractors and suppliers. Duties will include (but are not limited to): Input and track all facility related issues through supplier web based platforms to completion with consistent resident communications and fix timelines being provided. Build relationship with FM providers to ensure Boeing site operation consistency is adhered. Responsible for raising purchase requisitions for facility related items through procurement internal business systems. Invoice management support for facility and business procurement when required. Development and management of Site Emergency Planning including documentation updates through internationally provided processes, templates and testing. Update site / employee call tree and dialogic scenarios. Accountability for ensuring that all Health and Safety policies and procedures are systematically applied in order to facilitate the safe, secure, healthy and compliant operation of site activities. Support Reception desk duties as required. Maintains Site records including management of accounts and facility OEM manuals. Internal business support SharePoint management. Occasional support to cover as Business Support Specialist/ Site Focal for other sites. Opportunities to support projects across the region in a support or leadership capacity Skills and Competencies: Must be a proactive, assertive, high energy individual and can work efficiently in an environment where priorities can change frequently. Must be highly responsive to the needs generated by the day-to-day activities of the site and business management requirements. Should exhibit mature and independent judgment, initiative and flexibility. Able to solve problems as they arise and use initiative or seek clarification as appropriate. High levels of discretion are required. Demonstrated experience of working in a confidential environment. Precise, accurate, and meticulous and have outstanding organisational skills. Be capable working well with others. Excellent communication skills; both verbal and written communication. Have experience working with and building relationships with a wide range of individuals/business partners within an organisation. Be computer literate with excellent experience of MS Office. Word, Excel and PowerPoint are essential. Experience with EHS is beneficial A prior facilities role would be advantageous Preferably experienced in working in a multicultural environment. Flexible approach Willing to travel as required between the Dublin offices, occasional travel to the UK may be required All information provided will be checked and may be verified. This requisition is for a locally hired position in Ireland . Candidates must have current legal authorisation to work immediately in the EU. Boeing will not attempt to obtain Immigration and labour sponsorship for any applicants. Benefits and pay are determined at the local level and are not part of Boeing U.S. based payroll. Equal Opportunity Employer: Boeing is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national origin, gender, sexual orientation, gender identity, age, physical or mental disability, genetic factors, military/veteran status or other characteristics protected by law. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Dublin,Ireland,2022-04-09,Customer Service & Call Centre
Customer Support Specialist 6-Month FTC,5495348703,"My client, a well-known car rental company, is seeking to hire 4 Customer Support Specialists to join their expanding team based in Santry, Dublin 9. This is an excellent opportunity for a candidate who has a proven record of providing excellent customer service . This is a 6-month contract rol... no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Dublin,Ireland,2022-04-09,Customer Service & Call Centre
Customer Management Executive - Gas Networks Ireland,5495299728,"CPM are collaborating with Gas Networks Ireland to hire a Customer Management Executive. The role of the Customer Management Executive is to support the CRM Team in the delivery of projects and ongoing business requests. In this role you will work on a cross-functional team to be primarily respon... no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Dublin,Ireland,2022-04-09,Customer Service & Call Centre
Warehouse Operator - Dispatch,5495289770,"Production Equipment Europe is a leading industrial distributor supplying over 80,000 products to customers nationwide. We are currently recruiting for an experienced Dispatch Clerk to join our busy team in Galway. Responsibilities: * Ensuring all orders are picked accurately, in line w... no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Galway,Ireland,2022-04-09,Customer Service & Call Centre
Czech Customer Support Executive,5495331804,"JOB SUMMARY: The mission of the team seeking this role is to provide world-class support to customers of a wellknown global gaming platform. This will be achieved through continuous learning, focused problemsolving, and the resulting provision of consistently high-quality customer experiences KEY DUTIES AND RESPONSIBILITIES: To handle queries via the client’s tools and systems (currently via ticket, or occasional email), in relation to user Accounts, potentially progressing to the handling of Billing questions, Purchase issues, Customer Order Management (changes, delays, non-deliveries, logistics), Technical and Game support,and any other area where support may be required by the client and their users. To manage queries end-to-end, providing regular updates to customers if required, and liaising with other partners/providers, where necessary. To pay attention to suspicious activities or contacts To proactively contribute to the achievement of agreed Service Levels DESIRED MINIMUM REQUIREMENTS: Leaving certificate, or equivalent Minimum of 12 months’ Customer Support experience High fluency in the required supported language(s), and in English, with excellent comprehension (verbal andwritten), spelling, grammar and punctuation Location: Dublin 18 Language: Czech Salary: 29,380 WFH: Yes Contract: Permanent If you are interested, please email me at By submitting your details you agree to our T & C no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Dublin,Ireland,2022-04-09,Customer Service & Call Centre
DUTCH Customer support executive,5495341807,"The mission of the team seeking this role is to provide world-class support to customers of a well-known global gaming platform. This will be achieved through continuous learning, focused problem solving, and the resulting provision of consistently high-quality customer experiences. KEY DUTIES AND RESPONSIBILITIES: · Providing support to customers' queries in relation to user accounts, purchase issues, customer order management, technical and game support or any other area where support may be required by the client and their users via the client’s tools and systems · Developing the relationship with the customers and increase the satisfaction of service · To pay attention to suspicious activities or contacts · To proactively contribute to the achievement of agreed Service Levels · To assist with new hire mentoring and integration, as the team grows. WHAT ARE WE LOOKING FOR: · Creative, enthusiastic and customer-oriented with a minimun of 6 months of experience in customer service-related jobs · Motivated and with excellent communication skills · Able to prioritize own workload, work to strict deadlines and effectively manage time · Fluent in English (at least C1) and Dutch (but we are currently hiring also German, French, Hungarian, Polish, Russian, Spanish, Turkish ) FURTHER INFORMATION: · Location: from home at the moment – office based in Sandyford, Dublin 18 Covalen delivers consulting, managed solutions and outsourcing to leading, global companies. Part of the Cpl group, we work with businesses looking to gain efficiencies, drive exceptional customer experiences, and maximise competitive advantage HOW CAN I HELP YOU? · Send your CV to · I like giving support to all my candidates, so I'll guide you through the entire process. · Preparing your CV and interview. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Dublin,Ireland,2022-04-09,Customer Service & Call Centre
Customer Success Manager,5495351156,"Here at Sojern, we are on a mission to empower travel marketers to move travelers from dream to destination. Powered by machine learning and travel data, Sojern is quickly becoming the #1 travel marketing platform serving thousands of hotels, attractions, airlines and destinations worldwide. We made Deloitte’s Technology Fast 500 list 6 years in a row, were recognized on the Top Company Cultures list by Entrepreneur Magazine, and were named a Best Place to Work by AdAge. We are headquartered in San Francisco with teams based in Dubai, Dublin, London, Paris, Omaha and Singapore. Our team is passionate about travel and the core values that define our culture: Win as a team, Embrace Inclusion, Be Genuine, Deliver Wow, and Center Around the Customer. The Team: The mission of the Customer Success team is to forge meaningful relationships with our clients and demonstrate indispensable value by converting our expertise, knowledge and skills into sustained commercial success for them through the adoption of Sojern products & solutions. We provide tailored solutions using data-driven recommendations to help our customers achieve their business goals. As the face of Sojern, the team aspires to cultivate long-lasting partnerships and celebrate our customers’ successes. The Role: You’ll join our EMEA SMB team as Customer Success Manager in our Dublin office. You will play a critical role within the company through hands-on management of hotel advertising campaigns while developing and maintaining partner and agency relationships with key corporate clients. If you thrive in a fast-paced, innovative and collaborative environment, and are excited by the idea to make impactful data-driven decisions every day, then this is the role for you! In this role, you will: Provide high-quality customer service and drive the bar higher for client satisfaction. Working with clients predominantly in the UK/ Ireland & Italian markets, Prepare and deliver presentations to agencies and clients directly. Proactively brainstorm new ideas to wow potential clients and grow current clients. Analyze and interpret performance data to provide optimization and campaign strategy recommendations. Traffic and optimize campaigns to deliver great results for our clients. Coordinate with sales, ad operations and external clients to ensure campaigns are successfully launched and consistently meeting client goals. What you bring to the table: Excellent written and verbal communication in English and in Italian. An additional European language is a distinct advantage 2+ years campaign/account management/client/customer success experience High attention to detail and organization skills which allow you to operate efficiently Strong analytical abilities and experience in data-driven decision making Strong self-management skills and a sense of urgency Ability to handle multiple clients & campaigns on any given day Willing to wear multiple hats and roll up your sleeves to get the job done Ability to work well with internal and external teams, along with remote team members and managers Digital Marketing experience with either programmatic media, Facebook, Meta or SEM experience a plus Our Commitment to Diversity Equity and Inclusion: At Sojern, we work to create a brave space that seeks out, embraces, and promotes diverse thoughts, beliefs, and experiences of Sojernistas globally. We are building a workforce that represents the customer base we are serving and the world we live in. A diversified workforce is an innovative workforce. Just as there is no one archetype traveler, there is no one archetype employee. We foster diversity and inclusion across the company, actively seeking to amplify underrepresented voices and apply diverse perspectives to ensure products, policies, and programs are relevant for our employees and clients alike. Embracing our differences and celebrating them moves us towards our goal of making travel inclusive of all. Sojern has over 15 employee-led Affinity Groups, including Embrace Inclusion, So-Proud, Sojern Women's Group, Sojern Gives Back, and more, which are the core of our culture, fostering belonging, inspiring learning, and creating opportunities for all Sojernistas across the globe. At Sojern, we value diversity and always treat all employees and job applicants based on merit, qualifications, competence, and talent. We do not discriminate on the basis of race, religion, color, national origin, gender, gender orientation, sexual orientation, age, marital status, veteran status, or disability status. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Dublin,Ireland,2022-04-09,Customer Service & Call Centre
Technical Support Associate - MDR,5495313247,"Bausch + Lomb, a division of Bausch Health Companies Inc (BCH), is solely dedicated to protecting and enhancing the gift of sight for millions of people around the world - from the moment of birth through every phase of life. The company is one of the best-known and most respected healthcare bran... no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Waterford,Ireland,2022-04-09,Customer Service & Call Centre
"Customer Assistant (Fixed, Term), Flexible Shifts",5495304351,"We are as flexible as you are. We have different shifts to suit your lifestyle. Come and speak to us to see what we can offer you. This may be your next career move! As a Customer Assistant you are required to sell alcohol, therefore you must be 18 or over to work in our store. Your Tasks ... no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Cork,Ireland,2022-04-09,Customer Service & Call Centre
Telesales & Customer Service Representative,5495277454,"If you want to make the next move in the sales field and want a job with uncapped commission, this might be suitable for you! The Telesales and Customer Support Representative will provide a broad range of customer support and administrative services to the customer and prospects of our client... no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Dublin,Ireland,2022-04-09,Customer Service
French speaker - Business/Finance/Accounting or Customer …,5495330421,"Je recrute pour différents rôles des Français-es pour des nouvelles teams créées à Dublin (relocation offerte) et qui désirent rejoindre un environnement qui peut les promouvoir Team Leader en 6 mois , au sein d'une des sociétés FinTech les mieux classées au monde . Si vous souhaitez confirmer votre diplôme OU votre première expérience dans le domaine du Service Client, de la Finance ou de la Comptabilité par un poste passionnant, j'ai les rôles qui répondront à votre ambition. ● Aider à résoudre les questions des clients et confirmer leurs opérations. ● Lire les états financiers tels que les comptes, les bilans, factures etc. ● Maintenir, améliorer et fournir des informations précises et de haute qualité. ● Assurer la liaison avec d'autres départements, tels que les produits, les ventes, les nouvelles et la recherche et le développement, afin d'améliorer les bases de données pertinentes sur les produits. ● Diplome en Commerce, Comptabilité, Service à la clientèle ou expérience professionnelle équivalente. ● Maîtrise de l'anglais et du français. ● Expérience préalable ou forte connaissance et compréhension de la finance et de la comptabilité. ● Intérêt marqué pour la gestion et la technologie de l'information et le développement de produits. ● Capacité d'adaptation dans un environnement en évolution rapide. ● Compétences efficaces en matière de gestion de projet et capacité à hiérarchiser les tâches en conséquence. ● Congé maladie payé ● Primes compétitives ● Salle de formation ● Douches et cantine sur place (nourriture/boisson à prix réduit) ● Espace événementiel. - Détournez la pipeline de recrutement. - Conseils et coaching concernant le rôle et les normes d'entretiens de l'entreprise. - Aide à la négociation de votre futur salaire. - Perspectives d'emploi et expertise en matière de candidature. N'hésitez pas à me contacter pour de plus amples informations sur ce poste ou pour un aperçu des autres opportunités à Dublin et en Irlande à l'adresse no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Dublin,Ireland,2022-04-09,Customer Service & Call Centre
